学生番号【ダミー】,年度,Q01_所属学部,Q01_所属学部_ラベル,Q02_学年,Q03_履修科目数,Q04_授業時間外学習時間,Q04_授業時間外学習時間_ラベル,Q05_授業の理解度,Q05_授業の理解度_ラベル,Q06_授業の満足度,Q06_授業の満足度_ラベル,Q07_課題が多い,Q07_課題が多い_ラベル,Q08_あなたの学生生活は充実していますか,Q08_あなたの学生生活は充実していますか_ラベル,Q09_教員とのコミュニケーション,Q09_教員とのコミュニケーション_ラベル,Q10_他の学生とのコミュニケーション,Q10_他の学生とのコミュニケーション_ラベル,Q11_図書館の設備,Q11_図書館の設備_ラベル,Q12_学内のICT環境について,Q12_学内のICT環境について_ラベル,GPA,TOEIC
"18A031",2020.000,1,"文学部","3年生",11,6,"11-15 時間",4,"よく理解できた",4,"満足",5,"とてもそう思う",3,"まあまあ充実している",4,"とてもうまくいった",4,"とてもうまくいった",5,"とても満足",3,"どちらでもない",0.710,301.000
"18A032",2020.000,3,"保健学部","3年生",3,4,"3-5 時間",5,"大変よく理解できた",5,"とても満足",1,"まったくそう思わない",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",4,"満足",4,"満足",1.330,312.000
"18A033",2020.000,3,"保健学部","3年生",1,3,"1-2 時間",5,"大変よく理解できた",5,"とても満足",3,"どちらでもない",1,"充実していない",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",1,"とても不満",1,"とても不満",2.590,592.000
"18A034",2020.000,1,"文学部","3年生",5,6,"11-15 時間",1,"まったく理解できなかった",2,"不満",1,"まったくそう思わない",2,"あまり充実していない",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",2,"不満",2,"不満",2.910,445.000
"18A035",2020.000,2,"商学部","3年生",10,7,"16-20 時間",3,"どちらでもない",3,"どちらでもない",5,"とてもそう思う",2,"あまり充実していない",3,"いくらかうまくいった",1,"まったくうまくいかなかった",3,"どちらでもない",4,"満足",2.970,773.000
"18A036",2020.000,1,"文学部","3年生",7,3,"1-2 時間",5,"大変よく理解できた",4,"満足",4,"ややそう思う",4,"充実している",4,"とてもうまくいった",4,"とてもうまくいった",4,"満足",4,"満足",2.180,741.000
"18A037",2020.000,1,"文学部","3年生",7,6,"11-15 時間",4,"よく理解できた",3,"どちらでもない",4,"ややそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",3,"どちらでもない",1,"とても不満",2.500,706.000
"18A038",2020.000,2,"商学部","3年生",5,8,"20 時間以上",4,"よく理解できた",5,"とても満足",1,"まったくそう思わない",4,"充実している",4,"とてもうまくいった",2,"あまりうまくいかなかった",2,"不満",2,"不満",2.710,657.000
"18A039",2020.000,3,"保健学部","3年生",2,1,"全然ない",3,"どちらでもない",2,"不満",1,"まったくそう思わない",2,"あまり充実していない",3,"いくらかうまくいった",3,"いくらかうまくいった",2,"不満",3,"どちらでもない",2.470,430.000
"18A040",2020.000,1,"文学部","3年生",13,8,"20 時間以上",3,"どちらでもない",3,"どちらでもない",5,"とてもそう思う",3,"まあまあ充実している",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",3,"どちらでもない",4,"満足",1.690,568.000
"18A041",2020.000,3,"保健学部","3年生",4,3,"1-2 時間",5,"大変よく理解できた",4,"満足",2,"あまりそう思わない",2,"あまり充実していない",3,"いくらかうまくいった",1,"まったくうまくいかなかった",4,"満足",5,"とても満足",2.920,330.000
"18A042",2020.000,1,"文学部","3年生",9,5,"6-10 時間",4,"よく理解できた",5,"とても満足",5,"とてもそう思う",4,"充実している",3,"いくらかうまくいった",4,"とてもうまくいった",5,"とても満足",3,"どちらでもない",2.570,433.000
"18A043",2020.000,3,"保健学部","3年生",8,7,"16-20 時間",2,"あまり理解できなかった",3,"どちらでもない",4,"ややそう思う",3,"まあまあ充実している",4,"とてもうまくいった",3,"いくらかうまくいった",4,"満足",2,"不満",0.430,275.000
"18A044",2020.000,2,"商学部","3年生",7,6,"11-15 時間",3,"どちらでもない",4,"満足",3,"どちらでもない",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",4,"満足",1,"とても不満",3.090,619.000
"18A045",2020.000,2,"商学部","3年生",10,2,"1 時間未満",4,"よく理解できた",4,"満足",4,"ややそう思う",4,"充実している",4,"とてもうまくいった",4,"とてもうまくいった",5,"とても満足",3,"どちらでもない",3.180,894.000
"18A046",2020.000,1,"文学部","3年生",6,3,"1-2 時間",3,"どちらでもない",3,"どちらでもない",2,"あまりそう思わない",4,"充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",4,"満足",2,"不満",2.760,492.000
"18A047",2020.000,3,"保健学部","3年生",5,5,"6-10 時間",4,"よく理解できた",4,"満足",2,"あまりそう思わない",4,"充実している",4,"とてもうまくいった",4,"とてもうまくいった",3,"どちらでもない",3,"どちらでもない",1.660,294.000
"18A048",2020.000,2,"商学部","3年生",11,7,"16-20 時間",5,"大変よく理解できた",5,"とても満足",5,"とてもそう思う",4,"充実している",3,"いくらかうまくいった",1,"まったくうまくいかなかった",4,"満足",4,"満足",2.960,464.000
"18A049",2020.000,3,"保健学部","3年生",9,4,"3-5 時間",4,"よく理解できた",3,"どちらでもない",5,"とてもそう思う",1,"充実していない",3,"いくらかうまくいった",1,"まったくうまくいかなかった",1,"とても不満",4,"満足",1.820,667.000
"18A050",2020.000,1,"文学部","3年生",6,3,"1-2 時間",3,"どちらでもない",4,"満足",3,"どちらでもない",3,"まあまあ充実している",4,"とてもうまくいった",2,"あまりうまくいかなかった",4,"満足",4,"満足",2.810,519.000
"18A051",2020.000,1,"文学部","3年生",4,3,"1-2 時間",1,"まったく理解できなかった",1,"とても不満",2,"あまりそう思わない",3,"まあまあ充実している",4,"とてもうまくいった",3,"いくらかうまくいった",3,"どちらでもない",2,"不満",3.070,613.000
"18A052",2020.000,3,"保健学部","3年生",10,6,"11-15 時間",5,"大変よく理解できた",4,"満足",5,"とてもそう思う",2,"あまり充実していない",3,"いくらかうまくいった",2,"あまりうまくいかなかった",4,"満足",3,"どちらでもない",2.620,383.000
"18A053",2020.000,1,"文学部","3年生",9,4,"3-5 時間",4,"よく理解できた",4,"満足",4,"ややそう思う",4,"充実している",2,"あまりうまくいかなかった",3,"いくらかうまくいった",5,"とても満足",4,"満足",0.800,211.000
"18A054",2020.000,1,"文学部","3年生",8,6,"11-15 時間",4,"よく理解できた",5,"とても満足",3,"どちらでもない",4,"充実している",3,"いくらかうまくいった",4,"とてもうまくいった",4,"満足",5,"とても満足",3.390,644.000
"18A055",2020.000,3,"保健学部","3年生",8,4,"3-5 時間",1,"まったく理解できなかった",1,"とても不満",2,"あまりそう思わない",3,"まあまあ充実している",4,"とてもうまくいった",3,"いくらかうまくいった",2,"不満",3,"どちらでもない",3.520,550.000
"18A056",2020.000,1,"文学部","3年生",9,7,"16-20 時間",4,"よく理解できた",3,"どちらでもない",4,"ややそう思う",1,"充実していない",2,"あまりうまくいかなかった",3,"いくらかうまくいった",4,"満足",4,"満足",3.120,406.000
"18A057",2020.000,3,"保健学部","3年生",7,4,"3-5 時間",4,"よく理解できた",2,"不満",4,"ややそう思う",4,"充実している",3,"いくらかうまくいった",4,"とてもうまくいった",3,"どちらでもない",5,"とても満足",1.550,788.000
"18A058",2020.000,3,"保健学部","3年生",5,2,"1 時間未満",4,"よく理解できた",5,"とても満足",3,"どちらでもない",3,"まあまあ充実している",2,"あまりうまくいかなかった",3,"いくらかうまくいった",5,"とても満足",5,"とても満足",2.950,582.000
"18A059",2020.000,1,"文学部","3年生",4,7,"16-20 時間",3,"どちらでもない",4,"満足",3,"どちらでもない",2,"あまり充実していない",2,"あまりうまくいかなかった",4,"とてもうまくいった",4,"満足",5,"とても満足",1.930,405.000
"18A060",2020.000,2,"商学部","3年生",12,6,"11-15 時間",4,"よく理解できた",4,"満足",4,"ややそう思う",3,"まあまあ充実している",4,"とてもうまくいった",4,"とてもうまくいった",4,"満足",4,"満足",3.380,464.000
"18A061",2020.000,1,"文学部","3年生",5,5,"6-10 時間",3,"どちらでもない",5,"とても満足",4,"ややそう思う",4,"充実している",4,"とてもうまくいった",4,"とてもうまくいった",1,"とても不満",4,"満足",3.600,526.000
"18A062",2020.000,3,"保健学部","3年生",7,8,"20 時間以上",4,"よく理解できた",3,"どちらでもない",5,"とてもそう思う",2,"あまり充実していない",3,"いくらかうまくいった",3,"いくらかうまくいった",5,"とても満足",2,"不満",2.740,586.000
"18A063",2020.000,3,"保健学部","3年生",11,6,"11-15 時間",2,"あまり理解できなかった",4,"満足",4,"ややそう思う",3,"まあまあ充実している",4,"とてもうまくいった",4,"とてもうまくいった",4,"満足",4,"満足",3.350,747.000
"18A064",2020.000,2,"商学部","3年生",6,4,"3-5 時間",5,"大変よく理解できた",5,"とても満足",5,"とてもそう思う",1,"充実していない",1,"まったくうまくいかなかった",2,"あまりうまくいかなかった",2,"不満",4,"満足",0.190,118.000
"18A065",2020.000,3,"保健学部","3年生",2,3,"1-2 時間",5,"大変よく理解できた",5,"とても満足",1,"まったくそう思わない",3,"まあまあ充実している",4,"とてもうまくいった",3,"いくらかうまくいった",3,"どちらでもない",3,"どちらでもない",3.380,553.000
"18A066",2020.000,2,"商学部","3年生",2,4,"3-5 時間",3,"どちらでもない",4,"満足",3,"どちらでもない",4,"充実している",3,"いくらかうまくいった",4,"とてもうまくいった",4,"満足",4,"満足",1.640,363.000
"18A067",2020.000,1,"文学部","3年生",7,7,"16-20 時間",3,"どちらでもない",3,"どちらでもない",4,"ややそう思う",3,"まあまあ充実している",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",3,"どちらでもない",3,"どちらでもない",2.680,544.000
"18A068",2020.000,2,"商学部","3年生",8,4,"3-5 時間",4,"よく理解できた",5,"とても満足",4,"ややそう思う",1,"充実していない",4,"とてもうまくいった",3,"いくらかうまくいった",4,"満足",4,"満足",3.480,571.000
"18A069",2020.000,2,"商学部","3年生",3,3,"1-2 時間",3,"どちらでもない",5,"とても満足",1,"まったくそう思わない",2,"あまり充実していない",3,"いくらかうまくいった",4,"とてもうまくいった",3,"どちらでもない",2,"不満",2.360,494.000
"18A070",2020.000,3,"保健学部","3年生",4,2,"1 時間未満",4,"よく理解できた",4,"満足",1,"まったくそう思わない",3,"まあまあ充実している",4,"とてもうまくいった",4,"とてもうまくいった",3,"どちらでもない",3,"どちらでもない",1.880,420.000
"18A071",2020.000,3,"保健学部","3年生",9,4,"3-5 時間",5,"大変よく理解できた",4,"満足",5,"とてもそう思う",3,"まあまあ充実している",1,"まったくうまくいかなかった",4,"とてもうまくいった",4,"満足",4,"満足",1.440,357.000
"18A072",2020.000,1,"文学部","3年生",6,3,"1-2 時間",2,"あまり理解できなかった",1,"とても不満",2,"あまりそう思わない",3,"まあまあ充実している",2,"あまりうまくいかなかった",3,"いくらかうまくいった",5,"とても満足",2,"不満",3.840,607.000
"18A073",2020.000,2,"商学部","3年生",3,3,"1-2 時間",4,"よく理解できた",3,"どちらでもない",2,"あまりそう思わない",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",4,"満足",3,"どちらでもない",3.460,652.000
"18A074",2020.000,3,"保健学部","3年生",8,5,"6-10 時間",4,"よく理解できた",4,"満足",3,"どちらでもない",2,"あまり充実していない",3,"いくらかうまくいった",4,"とてもうまくいった",4,"満足",5,"とても満足",3.280,766.000
"18A075",2020.000,1,"文学部","3年生",6,5,"6-10 時間",4,"よく理解できた",4,"満足",1,"まったくそう思わない",4,"充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",3,"どちらでもない",4,"満足",1.470,289.000
"18A076",2020.000,2,"商学部","3年生",5,6,"11-15 時間",2,"あまり理解できなかった",3,"どちらでもない",3,"どちらでもない",4,"充実している",4,"とてもうまくいった",4,"とてもうまくいった",5,"とても満足",4,"満足",2.110,660.000
"18A077",2020.000,2,"商学部","3年生",7,5,"6-10 時間",4,"よく理解できた",3,"どちらでもない",3,"どちらでもない",3,"まあまあ充実している",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",4,"満足",3,"どちらでもない",2.260,437.000
"18A078",2020.000,3,"保健学部","3年生",13,4,"3-5 時間",4,"よく理解できた",3,"どちらでもない",5,"とてもそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",1,"まったくうまくいかなかった",3,"どちらでもない",4,"満足",2.350,715.000
"18A079",2020.000,1,"文学部","3年生",4,3,"1-2 時間",2,"あまり理解できなかった",4,"満足",1,"まったくそう思わない",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",4,"満足",5,"とても満足",1.540,281.000
"18A080",2020.000,3,"保健学部","3年生",12,4,"3-5 時間",4,"よく理解できた",5,"とても満足",5,"とてもそう思う",3,"まあまあ充実している",4,"とてもうまくいった",3,"いくらかうまくいった",5,"とても満足",5,"とても満足",3.580,416.000
"18A081",2020.000,1,"文学部","3年生",5,6,"11-15 時間",4,"よく理解できた",3,"どちらでもない",1,"まったくそう思わない",4,"充実している",2,"あまりうまくいかなかった",3,"いくらかうまくいった",4,"満足",5,"とても満足",1.910,457.000
"18A082",2020.000,2,"商学部","3年生",4,7,"16-20 時間",1,"まったく理解できなかった",4,"満足",5,"とてもそう思う",4,"充実している",2,"あまりうまくいかなかった",4,"とてもうまくいった",4,"満足",5,"とても満足",3.540,728.000
"18A083",2020.000,3,"保健学部","3年生",7,4,"3-5 時間",2,"あまり理解できなかった",2,"不満",5,"とてもそう思う",2,"あまり充実していない",4,"とてもうまくいった",4,"とてもうまくいった",1,"とても不満",4,"満足",2.160,266.000
"18A084",2020.000,3,"保健学部","3年生",10,2,"1 時間未満",4,"よく理解できた",3,"どちらでもない",5,"とてもそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",2,"不満",2,"不満",2.630,658.000
"18A085",2020.000,1,"文学部","3年生",11,4,"3-5 時間",4,"よく理解できた",4,"満足",5,"とてもそう思う",3,"まあまあ充実している",4,"とてもうまくいった",4,"とてもうまくいった",3,"どちらでもない",3,"どちらでもない",2.730,353.000
"18A086",2020.000,3,"保健学部","3年生",11,3,"1-2 時間",5,"大変よく理解できた",5,"とても満足",4,"ややそう思う",2,"あまり充実していない",3,"いくらかうまくいった",4,"とてもうまくいった",4,"満足",4,"満足",2.330,741.000
"18A087",2020.000,1,"文学部","3年生",8,4,"3-5 時間",3,"どちらでもない",4,"満足",3,"どちらでもない",1,"充実していない",2,"あまりうまくいかなかった",4,"とてもうまくいった",4,"満足",1,"とても不満",2.110,765.000
"18A088",2020.000,1,"文学部","3年生",10,8,"20 時間以上",2,"あまり理解できなかった",1,"とても不満",5,"とてもそう思う",2,"あまり充実していない",3,"いくらかうまくいった",3,"いくらかうまくいった",5,"とても満足",4,"満足",2.790,604.000
"18A089",2020.000,2,"商学部","3年生",9,6,"11-15 時間",1,"まったく理解できなかった",2,"不満",4,"ややそう思う",4,"充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",4,"満足",4,"満足",2.130,508.000
"18A090",2020.000,3,"保健学部","3年生",8,7,"16-20 時間",2,"あまり理解できなかった",3,"どちらでもない",5,"とてもそう思う",4,"充実している",4,"とてもうまくいった",2,"あまりうまくいかなかった",4,"満足",3,"どちらでもない",3.850,942.000
"18A091",2020.000,1,"文学部","3年生",6,4,"3-5 時間",3,"どちらでもない",5,"とても満足",3,"どちらでもない",1,"充実していない",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",4,"満足",4,"満足",0.460,267.000
"18A092",2020.000,2,"商学部","3年生",5,6,"11-15 時間",4,"よく理解できた",5,"とても満足",2,"あまりそう思わない",3,"まあまあ充実している",4,"とてもうまくいった",1,"まったくうまくいかなかった",3,"どちらでもない",5,"とても満足",2.720,878.000
"18A093",2020.000,3,"保健学部","3年生",5,8,"20 時間以上",5,"大変よく理解できた",5,"とても満足",1,"まったくそう思わない",3,"まあまあ充実している",1,"まったくうまくいかなかった",3,"いくらかうまくいった",2,"不満",3,"どちらでもない",2.300,614.000
"18A094",2020.000,3,"保健学部","3年生",11,7,"16-20 時間",3,"どちらでもない",1,"とても不満",4,"ややそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",4,"とてもうまくいった",4,"満足",5,"とても満足",2.650,471.000
"18A095",2020.000,1,"文学部","3年生",8,6,"11-15 時間",4,"よく理解できた",4,"満足",2,"あまりそう思わない",4,"充実している",3,"いくらかうまくいった",2,"あまりうまくいかなかった",2,"不満",5,"とても満足",3.300,633.000
"18A096",2020.000,1,"文学部","3年生",9,3,"1-2 時間",5,"大変よく理解できた",5,"とても満足",3,"どちらでもない",3,"まあまあ充実している",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",3,"どちらでもない",3,"どちらでもない",2.220,377.000
"18A097",2020.000,1,"文学部","3年生",10,2,"1 時間未満",4,"よく理解できた",4,"満足",5,"とてもそう思う",2,"あまり充実していない",2,"あまりうまくいかなかった",3,"いくらかうまくいった",4,"満足",4,"満足",2.780,392.000
"18A098",2020.000,2,"商学部","3年生",9,5,"6-10 時間",5,"大変よく理解できた",3,"どちらでもない",4,"ややそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",4,"とてもうまくいった",1,"とても不満",3,"どちらでもない",2.680,648.000
"18A099",2020.000,2,"商学部","3年生",8,4,"3-5 時間",2,"あまり理解できなかった",2,"不満",5,"とてもそう思う",2,"あまり充実していない",4,"とてもうまくいった",4,"とてもうまくいった",4,"満足",4,"満足",2.540,558.000
"18A100",2020.000,3,"保健学部","3年生",7,6,"11-15 時間",2,"あまり理解できなかった",3,"どちらでもない",2,"あまりそう思わない",3,"まあまあ充実している",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",2,"不満",3,"どちらでもない",3.730,546.000
"18A101",2020.000,2,"商学部","3年生",6,4,"3-5 時間",2,"あまり理解できなかった",2,"不満",3,"どちらでもない",4,"充実している",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",2,"不満",1,"とても不満",2.850,387.000
"18A102",2020.000,2,"商学部","3年生",5,5,"6-10 時間",3,"どちらでもない",4,"満足",2,"あまりそう思わない",3,"まあまあ充実している",2,"あまりうまくいかなかった",4,"とてもうまくいった",4,"満足",4,"満足",2.020,611.000
"18A103",2020.000,3,"保健学部","3年生",8,7,"16-20 時間",5,"大変よく理解できた",5,"とても満足",3,"どちらでもない",2,"あまり充実していない",3,"いくらかうまくいった",3,"いくらかうまくいった",4,"満足",4,"満足",2.620,481.000
"18A104",2020.000,1,"文学部","3年生",5,5,"6-10 時間",5,"大変よく理解できた",5,"とても満足",3,"どちらでもない",2,"あまり充実していない",2,"あまりうまくいかなかった",3,"いくらかうまくいった",5,"とても満足",5,"とても満足",3.060,502.000
"18A105",2020.000,2,"商学部","3年生",4,6,"11-15 時間",2,"あまり理解できなかった",1,"とても不満",2,"あまりそう思わない",2,"あまり充実していない",1,"まったくうまくいかなかった",2,"あまりうまくいかなかった",1,"とても不満",2,"不満",2.510,601.000
"18A106",2020.000,3,"保健学部","3年生",3,2,"1 時間未満",4,"よく理解できた",3,"どちらでもない",2,"あまりそう思わない",3,"まあまあ充実している",2,"あまりうまくいかなかった",3,"いくらかうまくいった",2,"不満",3,"どちらでもない",3.460,678.000
"18A107",2020.000,2,"商学部","3年生",5,3,"1-2 時間",2,"あまり理解できなかった",3,"どちらでもない",5,"とてもそう思う",4,"充実している",3,"いくらかうまくいった",4,"とてもうまくいった",2,"不満",4,"満足",0.640,254.000
"18A108",2020.000,2,"商学部","3年生",7,2,"1 時間未満",4,"よく理解できた",4,"満足",1,"まったくそう思わない",2,"あまり充実していない",3,"いくらかうまくいった",3,"いくらかうまくいった",4,"満足",5,"とても満足",3.150,714.000
